#{"t_start": 1733273477.165031, "env_id": "None"}
r,l,t
-0.039229,105,359.735086
-0.006356,26,359.762572
-0.006278,26,359.790129
-0.006177,26,359.816418
-0.038009,105,359.927203
-0.039752,105,360.037344
-0.00201,6,360.044346
-0.006402,26,360.076909
-0.006563,26,360.119502
-0.006188,26,360.146671
-0.006556,26,360.174205
-0.006384,26,360.199316
-0.006356,26,360.225115
-0.006525,28,360.251316
-0.006444,26,360.276373
-0.002383,8,360.285615
-0.002104,6,360.29101
-0.002104,6,360.297635
-0.040182,105,362.141365
-0.006394,26,362.166486
-0.006321,26,362.198413
-0.006405,26,362.228475
-0.002006,6,362.234505
-0.002104,6,362.240725
-0.001977,6,362.247794
-0.002071,6,362.253618
-0.006278,26,362.280565
-0.00675,26,362.307801
-0.002071,6,362.3138
-0.00644,26,362.341666
-0.006149,26,362.369989
-0.002104,6,362.376455
-0.006371,26,362.405155
-0.001912,6,362.411847
-0.039848,105,362.525153
-0.006144,26,362.553938
-0.041983,105,362.67296
-0.006399,26,362.703767
-0.00229,8,362.715737
-0.002308,8,362.728041
-0.006343,26,362.755342
-0.002104,6,362.761619
-0.00636,26,362.78788
-0.002104,6,362.794474
-0.006446,26,362.819931
-0.006329,26,362.845388
-0.006258,26,362.873903
-0.006411,26,362.900878
-0.006128,26,362.928035
-0.006517,26,362.955166
-0.006251,26,362.984144
-0.006481,26,363.013108
-0.006792,26,363.041745
-0.002329,8,363.049765
-0.006295,26,363.077503
-0.002329,8,363.086596
-0.00242,8,363.096038
-0.006213,26,363.127241
-0.006515,28,363.159148
-0.040116,105,363.270324
-0.006172,26,363.297682
-0.002508,8,363.306826
-0.006462,26,363.33506
-0.001977,6,363.34102
-0.002304,8,363.349332
-0.006316,26,363.377234
-0.039891,105,363.490507
-0.002541,8,363.499444
-0.00229,8,363.50778
-0.006397,26,363.536224
-0.006098,26,366.642941
-0.002372,8,366.654695
-0.00662,26,366.690982
-0.00201,6,366.699105
-0.001912,6,366.708075
-0.001946,6,366.714936
-0.006267,26,366.746107
-0.006173,26,366.783264
-0.006294,26,366.817837
-0.00628,26,366.852107
-0.006183,26,366.884327
-0.002527,8,366.892885
-0.002039,6,366.9001
-0.006283,26,366.924999
-0.006554,26,366.954825
-0.006533,28,366.987978
-0.002071,6,366.995711
-0.006341,26,367.025424
-0.006802,26,367.052821
-0.006373,26,367.079823
-0.006674,26,367.10947
-0.006212,26,367.137188
-0.006342,26,367.164448
-0.006179,26,367.190614
-0.006327,26,367.218761
-0.002497,8,367.229481
-0.006264,26,367.25493
-0.006156,26,367.28359
-0.00239,8,367.293255
-0.00606,26,367.319899
-0.006756,26,367.347781
-0.00635,26,367.375383
-0.006476,26,367.403976
-0.003555,8,367.411485
-0.001912,6,367.416425
-0.041207,105,369.271762
-0.002445,8,369.278834
-0.006362,26,369.304232
-0.006407,26,369.331622
-0.002071,6,369.337626
-0.002284,8,369.345824
-0.00249,8,369.353739
-0.006275,26,369.379663
-0.006257,26,369.404728
-0.006337,26,369.434725
-0.006236,26,369.464389
-0.006122,26,369.491289
-0.00629,26,369.517656
-0.006393,26,369.546657
-0.002039,6,369.551909
-0.006234,26,369.578826
-0.006141,26,369.607894
-0.006169,26,369.639279
-0.006017,26,369.664959
-0.002071,6,369.671
-0.006234,26,369.70101
-0.006207,26,369.729856
-0.002247,8,369.73838
-0.002342,8,369.746867
-0.006131,26,369.772769
-0.00631,26,369.799852
-0.006285,26,369.82865
-0.002427,8,369.839206
-0.006296,26,369.866833
-0.002483,8,369.874951
-0.041284,105,369.980117
-0.002446,8,369.988654
-0.006463,26,370.016814
-0.002478,8,370.025455
-0.006106,26,370.051176
-0.006356,26,370.081374
-0.006177,26,370.10763
-0.006253,26,370.135264
-0.00201,6,370.146119
-0.002541,8,370.154695
-0.006183,26,370.182327
-0.006434,26,370.216748
-0.006377,26,370.252753
-0.006428,26,370.291433
-0.006474,26,370.335416
-0.006221,26,370.369896
-0.002071,6,370.375983
-0.00623,26,370.401818
-0.006226,26,370.428533
-0.006216,26,370.455085
-0.0419,105,370.563933
-0.00246,8,370.572453
-0.003229,8,370.579505
-0.006622,26,370.606515
-0.002361,8,370.614524
-0.002328,8,370.624112
-0.006536,28,370.652802
-0.006598,28,370.685557
-0.006414,26,370.724041
-0.00249,8,370.732546
-0.006246,26,370.759001
-0.006246,26,370.784201
-0.002006,6,370.790345
-0.006371,26,370.817273
-0.002478,8,370.826305
-0.00611,26,370.853839
-0.002265,8,370.862404
-0.006276,26,370.88939
-0.006213,26,370.914821
-0.006342,26,370.94067
-0.00201,6,370.94725
-0.002522,8,370.956605
-0.039623,105,371.069984
-0.002071,6,371.077656
-0.006293,28,371.106596
-0.003273,8,371.114344
-0.002039,6,371.120326
-0.006346,26,371.14756
-0.006404,26,371.178499
-0.003564,8,371.186133
-0.006244,26,371.218806
-0.001912,6,371.224975
-0.00637,26,371.253087
-0.006241,26,371.281983
-0.006374,28,371.313119
-0.006238,26,371.347182
-0.002427,8,371.356675
-0.006403,26,371.383409
-0.006307,26,371.410319
-0.006612,26,373.221446
-0.006036,26,373.246823
-0.002104,6,373.252862
-0.006278,26,373.279574
-0.006101,26,373.306551
-0.00634,26,373.337888
-0.001946,6,373.34446
-0.006324,26,373.370757
-0.006351,26,373.397055
-0.006276,26,373.423883
-0.002541,8,373.431616
-0.002104,6,373.438075
-0.00307,8,373.445743
-0.006411,26,373.472279
-0.006396,28,373.501077
-0.006145,26,373.528903
-0.006357,26,373.557585
-0.006083,26,373.584642
-0.006536,26,373.612129
-0.006262,26,373.643192
-0.006147,26,373.671843
-0.006209,26,373.701119
-0.006213,26,373.729825
-0.041757,105,373.837617
-0.00249,8,373.846546
-0.006176,26,373.876073
-0.00625,26,373.902614
-0.002071,6,373.907924
-0.006149,26,373.933658
-0.006217,26,373.959792
-0.006439,26,373.98763
-0.006038,26,374.015287
-0.002464,8,374.023959
-0.006231,26,374.05264
-0.002071,6,374.058158
-0.00613,26,374.086238
-0.00639,26,374.114705
-0.00607,26,374.146572
-0.00612,26,374.176693
-0.006372,26,374.206541
-0.002304,8,374.214548
-0.006041,26,374.244349
-0.006009,26,374.270936
-0.00201,6,374.277046
-0.006078,26,374.30476
-0.001912,6,374.311851
-0.041877,105,374.432348
-0.006358,26,374.459092
-0.006056,26,374.485503
-0.00239,8,374.493753
-0.006339,28,374.522222
-0.006161,26,374.548765
-0.002464,8,374.557243
-0.006316,26,374.584392
-0.006028,26,374.61171
-0.006479,26,374.64312
-0.006341,26,374.671332
-0.00628,26,374.701529
-0.00612,26,374.729457
-0.006319,26,374.758803
-0.00638,26,374.78955
-0.006128,26,374.817664
-0.002327,8,374.826219
-0.006104,26,374.854813
-0.006183,26,374.88289
-0.006415,26,374.911077
-0.00656,26,374.940273
-0.006492,28,374.970072
-0.006383,26,374.995491
-0.006065,26,375.024969
-0.006223,26,375.051105
-0.006083,26,375.079882
-0.002508,8,375.088396
-0.006318,26,375.116499
-0.006069,26,375.149615
-0.006164,26,375.17769
-0.00229,8,375.185832
-0.002383,8,375.193506
-0.00201,6,375.199578
-0.006437,26,375.226091
-0.006446,28,375.254205
-0.006751,26,375.281289
-0.006172,26,375.307789
-0.006353,28,375.336907
-0.006036,26,375.365654
-0.006201,26,375.393026
-0.002522,8,375.401766
-0.006269,26,377.132893
-0.041496,105,377.245731
-0.006121,26,377.271059
-0.002522,8,377.279506
-0.006158,26,377.305119
-0.006289,26,377.332597
-0.006153,26,377.359725
-0.006155,26,377.386305
-0.00621,26,377.412921
-0.006441,26,377.441561
-0.003213,8,377.449688
-0.006069,26,377.478657
-0.002104,6,377.484117
-0.00201,6,377.491174
-0.006439,26,377.518888
-0.006396,26,377.545642
-0.00626,26,377.575696
-0.002071,6,377.583071
-0.002104,6,377.590582
-0.0065,26,377.617704
-0.00626,26,377.649456
-0.006393,28,377.678592
-0.00625,26,377.709511
-0.002039,6,377.716514
-0.006247,26,377.744802
-0.006348,26,377.771135
-0.006288,26,377.798893
-0.002445,8,377.811482
-0.00607,26,377.839353
-0.00639,26,377.866237
-0.002006,6,377.872766
-0.006615,26,377.899647
-0.006101,26,377.926865
-0.006921,26,377.953695
-0.006197,26,377.981495
-0.001912,6,377.987173
-0.002527,8,377.995601
-0.002434,8,378.003885
-0.00621,26,378.029854
-0.006404,26,378.056762
-0.006068,26,378.084273
-0.006181,26,378.110825
-0.002508,8,378.12234
-0.006392,26,378.151045
-0.006231,26,378.17899
-0.007469,29,378.208756
-0.002479,8,378.217752
-0.006608,28,378.247983
-0.002523,8,378.256759
-0.006234,26,378.283521
-0.006382,26,378.309884
-0.006291,26,378.337671
-0.006245,26,378.365452
-0.006443,26,378.391586
-0.006285,26,378.420191
-0.006157,26,378.449177
-0.00614,26,378.477875
-0.006516,26,378.505215
-0.00201,6,378.511242
-0.006345,26,378.538288
-0.04286,105,378.658221
-0.006124,26,378.685428
-0.002071,6,378.691006
-0.002464,8,378.703199
-0.00624,26,378.731286
-0.00625,26,378.756703
-0.002266,8,378.764252
-0.006497,26,378.791544
-0.006538,26,378.820251
-0.006061,26,378.848872
-0.006253,26,378.875972
-0.006146,26,378.903131
-0.006057,26,378.92926
-0.006275,26,378.957471
-0.006149,26,378.985156
-0.006218,26,379.011445
-0.006466,26,379.037611
-0.006081,26,379.066099
-0.006261,26,379.096136
-0.001946,6,379.102715
-0.002328,8,379.111741
-0.002104,6,379.117756
-0.002367,8,379.128816
-0.006231,26,379.163674
-0.006666,28,379.194738
-0.006212,26,379.220362
-0.00649,26,379.247541
-0.00636,26,379.276347
-0.006098,26,379.303672
-0.002039,6,379.309072
-0.00616,26,380.955362
-0.006301,26,380.98238
-0.006111,26,381.006702
-0.00619,26,381.030196
-0.006202,26,381.056684
-0.006176,26,381.083356
-0.003104,8,381.090885
-0.006335,26,381.11791
-0.006233,26,381.144772
-0.006707,26,381.171027
-0.006158,26,381.197306
-0.001946,6,381.202708
-0.006161,26,381.228854
-0.006449,26,381.256649
-0.003287,22,381.282011
-0.006408,26,381.309789
-0.00606,26,381.33638
-0.006146,26,381.364223
-0.006186,26,381.391328
-0.006146,26,381.417749
-0.006152,26,381.445926
-0.002104,6,381.452945
-0.006293,26,381.479826
-0.006344,26,381.506487
-0.006179,26,381.538029
-0.006352,26,381.565253
-0.006229,26,381.589426
-0.00249,8,381.597681
-0.006353,26,381.623451
-0.006353,26,381.652961
-0.006458,26,381.68749
-0.006376,26,381.730663
-0.00201,6,381.737799
-0.006251,26,381.765153
-0.006255,26,381.791411
-0.002308,8,381.801999
-0.002446,8,381.810757
-0.006365,26,381.838048
-0.006131,26,381.868387
-0.00628,26,381.894573
-0.002071,6,381.901156
-0.006276,26,381.927905
-0.002464,8,381.936049
-0.0061,26,381.964797
-0.006049,26,381.992959
-0.002372,8,382.001023
-0.006581,26,382.031351
-0.0063,26,382.059734
-0.002104,6,382.066754
-0.006179,26,382.093491
-0.006531,26,382.121183
-0.006155,26,382.147792
-0.041001,105,382.256731
-0.006157,26,382.288084
-0.006343,26,382.316013
-0.006193,26,382.345495
-0.00624,26,382.37424
-0.006285,26,382.399138
-0.005988,26,382.426427
-0.006057,26,382.452667
-0.006223,26,382.479359
-0.006215,26,382.505272
-0.00249,8,382.51234
-0.001946,6,382.51983
-0.001946,6,382.527398
-0.007003,29,382.558229
-0.006329,26,382.583369
-0.002464,8,382.591446
-0.006409,28,382.618669
-0.006062,26,382.645514
-0.006159,26,382.671255
-0.005971,26,382.70151
-0.006372,28,382.730386
-0.006088,28,382.761516
-0.041648,105,382.871454
-0.006171,26,382.903048
-0.006235,26,382.928661
-0.006418,28,382.954807
-0.006186,26,382.981385
-0.006682,28,383.008786
-0.006342,26,383.0401
-0.006467,26,383.06645
-0.002523,8,383.075061
-0.006698,28,383.103752
-0.00628,26,384.798481
-0.001946,6,384.805169
-0.006089,26,384.829756
-0.006084,26,384.857754
-0.001946,6,384.864582
-0.002104,6,384.871098
-0.006326,26,384.899465
-0.006243,26,384.927992
-0.006385,26,384.955092
-0.006183,26,384.983357
-0.006126,26,385.012115
-0.00634,26,385.040378
-0.002104,6,385.046459
-0.006136,26,385.073075
-0.002071,6,385.07962
-0.002508,8,385.08845
-0.006067,26,385.115622
-0.006178,26,385.143008
-0.00201,6,385.149691
-0.006419,26,385.177048
-0.006129,26,385.204724
-0.006065,26,385.231493
-0.006121,26,385.258803
-0.006199,26,385.2863
-0.006331,26,385.316192
-0.006513,26,385.348596
-0.00631,26,385.374913
-0.006169,26,385.402887
-0.006028,26,385.42974
-0.006042,26,385.45926
-0.006396,26,385.486457
-0.005959,26,385.514839
-0.006465,26,385.543324
-0.006422,26,385.570017
-0.006403,26,385.597551
-0.006335,26,385.625764
-0.006192,26,385.653696
-0.006177,26,385.67976
-0.006166,26,385.710345
-0.006248,26,385.740316
-0.001946,6,385.746312
-0.006065,26,385.774682
-0.00201,6,385.780067
-0.006134,26,385.806749
-0.006262,26,385.838631
-0.002104,6,385.846463
-0.006086,26,385.872675
-0.006175,26,385.899296
-0.006427,28,385.927551
-0.002039,6,385.932599
-0.006402,26,389.133588
-0.006169,26,389.161557
-0.006051,26,389.194878
-0.00614,26,389.226812
-0.006182,26,389.26329
-0.006157,26,389.29757
-0.002104,6,389.305595
-0.006314,26,389.34157
-0.006121,26,389.378535
-0.006167,26,389.406666
-0.00201,6,389.41221
-0.006307,26,389.439531
-0.006407,26,389.469778
-0.002464,8,389.479872
-0.006051,26,389.509871
-0.006123,26,389.539622
-0.006135,26,389.568048
-0.006135,26,389.597834
-0.006387,26,389.628515
-0.006141,26,389.659962
-0.003109,8,389.668916
-0.002104,6,389.676428
-0.006407,26,389.707988
-0.040763,105,389.828611
-0.002104,6,389.835372
-0.006102,26,389.863718
-0.006227,26,389.892171
-0.006044,26,389.919501
-0.006112,26,389.946595
-0.006076,26,389.977524
-0.00615,26,390.00491
-0.00625,26,390.032429
-0.00249,8,390.040339
-0.006184,26,390.086479
-0.001977,6,390.097409
-0.002459,8,390.122
-0.006127,26,390.156617
-0.006203,26,390.191131
-0.006126,26,390.232877
-0.00653,26,390.275362
-0.006215,26,392.141436
-0.006362,26,392.172352
-0.006114,26,392.202807
-0.002508,8,392.211985
-0.006108,26,392.243028
-0.006509,26,392.272914
-0.006095,26,392.30278
-0.00641,26,392.329778
-0.006336,26,392.359717
-0.001946,6,392.366718
-0.006311,26,392.398392
-0.006137,26,392.432657
-0.006085,26,392.461685
-0.006188,26,392.493197
-0.002328,8,392.506361
-0.006299,26,392.539256
-0.00624,26,392.567779
-0.006082,26,392.594666
-0.002039,6,392.601208
-0.006218,26,392.631719
-0.006093,26,392.659744
-0.006268,26,392.68762
-0.001977,6,392.69572
-0.006516,26,392.727527
-0.002104,6,392.733364
-0.006106,26,392.761771
-0.006142,26,392.791975
-0.006203,26,392.821269
-0.002039,6,392.827412
-0.006263,26,392.855557
-0.006379,26,392.883749
-0.002104,6,392.891213
-0.002071,6,392.897845
-0.006108,26,392.925652
-0.006786,26,392.957578
-0.006338,26,392.987876
-0.006182,26,393.024974
-0.002059,9,393.038345
-0.006125,26,393.073747
-0.007057,29,393.104106
-0.006202,26,393.12979
-0.006454,26,393.154843
-0.00638,26,393.180607
-0.006578,26,393.205676
-0.002104,6,393.211593
-0.006249,26,393.23681
-0.006126,26,393.262673
-0.006137,26,393.288007
-0.006329,26,393.31305
-0.006113,26,393.338188
-0.00627,26,393.365435
-0.001946,6,393.370992
-0.006133,26,393.398039
-0.006127,26,393.423525
-0.006341,26,393.454836
-0.006191,26,393.483163
-0.006093,26,393.510587
-0.006472,26,393.539536
-0.006076,26,393.566577
-0.006271,26,393.593235
-0.006284,26,393.618766
-0.006067,26,393.644902
-0.006062,26,393.67031
-0.006211,26,393.697684
-0.006177,26,393.726591
-0.002104,6,393.732718
-0.00612,26,393.758753
-0.006116,26,393.783994
-0.001977,6,393.790526
-0.006333,26,393.816389
-0.006281,26,393.841357
-0.006377,26,393.868514
-0.006219,26,393.892718
-0.006148,26,393.91846
-0.002522,8,393.927022
-0.006274,26,393.952809
-0.006263,26,393.978606
-0.002006,6,393.984348
-0.006141,26,394.010865
-0.00597,26,394.041353
-0.001977,6,394.048444
-0.006315,26,394.078926
-0.006448,26,394.106415
-0.006074,26,394.131932
-0.005971,26,394.159005
-0.002104,6,394.164767
-0.002006,6,394.170539
-0.006335,26,394.197493
-0.006147,26,394.222972
-0.002541,8,394.231594
-0.006284,26,394.257619
-0.006417,26,394.282923
-0.00616,26,394.30842
-0.006398,26,394.333355
-0.006177,26,396.064227
-0.00634,26,396.089412
-0.006089,26,396.118005
-0.006243,26,396.143137
-0.006015,26,396.170999
-0.006231,26,396.196929
-0.006239,26,396.221905
-0.006115,26,396.24866
-0.006149,26,396.276235
-0.006103,26,396.305193
-0.00201,6,396.310754
-0.006209,26,396.338242
-0.006278,26,396.364287
-0.006128,26,396.392372
-0.006393,26,396.420766
-0.006583,26,396.447965
-0.005979,26,396.478484
-0.006188,26,396.505697
-0.00201,6,396.512776
-0.002104,6,396.51882
-0.006411,26,396.546576
-0.006343,26,396.575392
-0.006561,26,396.601215
-0.002371,8,396.609462
-0.00624,26,396.644651
-0.002039,6,396.650187
-0.006188,26,396.678434
-0.006295,26,396.707348
-0.006224,26,396.734735
-0.006077,26,396.762501
-0.003683,8,396.771529
-0.002039,6,396.777625
-0.002104,6,396.784184
-0.006291,26,396.81188
-0.006232,26,396.838674
-0.006089,26,396.867836
-0.006029,26,396.894775
-0.006221,26,396.920415
-0.002247,8,396.929015
-0.006084,26,396.957425
-0.00632,26,396.997643
-0.006044,26,397.050946
-0.006294,26,397.091268
-0.00737,29,397.123283
-0.006159,26,397.154205
-0.006105,26,397.18483
-0.006162,26,397.211281
-0.006101,26,397.23825
-0.006167,26,397.263416
-0.007416,29,397.296717
-0.006095,26,397.322679
-0.006468,28,397.351932
-0.006111,26,397.377495
-0.006035,26,397.403372
-0.006201,26,397.430225
-0.00635,26,397.457669
-0.006106,26,397.484977
-0.006295,26,397.512201
-0.006317,26,397.538245
-0.006268,26,397.564075
-0.006233,26,397.593237
-0.006259,26,397.623229
-0.002464,8,397.633854
-0.00612,26,397.660976
-0.006135,26,397.687343
-0.002427,8,397.69894
-0.006155,26,397.727676
-0.006163,26,397.754012
-0.002071,6,397.759917
-0.002071,6,397.767157
-0.006049,26,397.7944
-0.006127,26,397.821311
-0.006412,26,397.849614
-0.006138,26,397.876527
-0.006065,26,397.904258
-0.006131,26,397.930424
-0.002104,6,397.93684
-0.006187,26,397.964199
-0.006089,26,397.991726
-0.006224,26,398.017854
-0.006161,26,398.046711
-0.006151,26,398.073796
-0.006138,26,398.103045
-0.006044,26,398.13666
-0.006278,26,398.167941
-0.002071,6,398.173491
-0.00604,26,398.200697
-0.006134,26,398.231508
-0.006303,26,398.258799
-0.006545,28,400.022122
-0.006075,26,400.047432
-0.006111,26,400.072861
-0.002039,6,400.078755
-0.006155,26,400.106888
-0.006263,26,400.135058
-0.001946,6,400.140555
-0.005989,26,400.168048
-0.002071,6,400.174326
-0.002104,6,400.180157
-0.006135,26,400.207612
-0.006148,26,400.236929
-0.002508,8,400.245489
-0.002104,6,400.251015
-0.006148,26,400.278528
-0.002427,8,400.286681
-0.005999,26,400.314724
-0.006127,26,400.342115
-0.006286,26,400.372164
-0.002104,6,400.379261
-0.006021,26,400.405683
-0.006187,26,400.434629
-0.006445,28,400.465373
-0.006125,26,400.494385
-0.002104,6,400.499895
-0.006381,26,400.532901
-0.006264,26,400.562708
-0.007189,29,400.594518
-0.006348,26,400.622304
-0.002342,8,400.63001
-0.006065,26,400.657495
-0.006094,26,400.686499
-0.006297,26,400.741029
-0.00601,26,400.777977
-0.006106,26,400.806648
-0.00729,29,400.835093
-0.006228,26,400.861482
-0.006148,26,400.890459
-0.006325,26,400.915381
-0.006301,26,400.941206
-0.002104,6,400.947209
-0.006062,26,400.972647
-0.006102,26,400.998806
-0.006284,26,401.029737
-0.006082,26,401.057803
-0.006201,28,401.087086
-0.006288,26,401.113228
-0.006241,26,401.139465
-0.006255,26,401.166011
-0.006214,26,401.191565
-0.006238,26,401.218786
-0.006361,26,401.245752
-0.006195,26,401.273938
-0.006167,26,401.300767
-0.002104,6,401.307387
-0.006007,26,401.335271
-0.006313,28,401.365657
-0.006299,26,401.393359
-0.006,26,401.425216
-0.003377,8,401.434339
-0.002039,6,401.441417
-0.006118,26,401.468791
-0.006413,26,401.495582
-0.006107,26,401.526205
-0.006147,26,401.557509
-0.006198,26,401.58471
-0.006202,26,401.611065
-0.006342,26,401.637709
-0.006624,28,401.666136
-0.006229,26,401.695839
-0.006272,26,401.725855
-0.002104,6,401.731306
-0.00246,8,401.740337
-0.006029,26,401.766425
-0.006335,26,401.792969
-0.007066,29,401.824191
-0.006126,26,401.852042
-0.006191,26,401.878981
-0.006048,26,401.906368
-0.00615,26,401.933941
-0.006267,26,401.965038
-0.00201,6,401.97275
-0.006167,26,402.000919
-0.002006,6,402.007443
-0.00619,26,402.037914
-0.006566,28,402.073645
-0.006071,26,402.122213
-0.006265,26,402.167707
-0.00605,26,402.19644
-0.006096,26,402.223596
-0.006115,26,402.248057
-0.006106,26,402.274041
-0.006316,26,404.122205
-0.006109,26,404.148438
-0.006086,26,404.176277
-0.006249,26,404.203398
-0.006052,26,404.231379
-0.006317,28,404.259326
-0.006552,26,404.286366
-0.006418,28,404.314678
-0.006222,26,404.342028
-0.006271,26,404.368701
-0.002479,8,404.377721
-0.006149,26,404.406333
-0.006221,26,404.43458
-0.006151,26,404.461923
-0.006347,26,404.489326
-0.006024,26,404.515439
-0.002039,6,404.522455
-0.002071,6,404.530481
-0.006333,26,404.559534
-0.006366,26,404.589263
-0.00626,26,404.619755
-0.006047,26,404.646463
-0.001946,6,404.653028
-0.006153,26,404.68002
-0.006324,26,404.710527
-0.006229,26,404.738644
-0.006073,26,404.76656
-0.006244,26,404.79373
-0.006145,26,404.820689
-0.006077,26,404.847811
-0.006139,26,404.874163
-0.006454,26,404.900958
-0.002383,8,404.908636
-0.006028,26,404.935527
-0.002071,6,404.941581
-0.006171,26,404.96882
-0.006208,26,404.996778
-0.006181,26,405.023337
-0.006169,26,405.056708
-0.006156,26,405.083395
-0.006072,26,405.112006
-0.006259,26,405.139931
-0.002304,8,405.14748
-0.006188,26,405.17383
-0.006172,26,405.201522
-0.006139,26,405.227311
-0.006323,26,405.254126
-0.006229,26,405.280629
-0.042451,105,405.390273
-0.006242,26,405.420349
-0.006275,26,405.447836
-0.006208,26,405.475486
-0.006362,28,405.504702
-0.005988,26,405.534774
-0.00628,26,405.560424
-0.006196,26,405.590573
-0.002371,8,405.599291
-0.006255,26,405.625162
-0.006336,26,405.655175
-0.006234,26,405.682818
-0.006215,26,405.71233
-0.002039,6,405.719346
-0.006302,26,405.746584
-0.006074,26,405.773847
-0.001977,6,405.779868
-0.042763,105,405.887523
-0.002434,8,405.895772
-0.006299,26,405.92196
-0.006229,26,405.949818
-0.006217,26,405.976613
-0.006118,26,406.003346
-0.006123,26,406.037533
-0.006223,26,406.064112
-0.005986,26,406.091282
-0.006489,26,406.118836
-0.006115,26,406.146528
-0.002104,6,406.152612
-0.006237,26,406.185225
-0.006246,26,406.214558
-0.006166,26,406.244453
-0.006151,26,406.272302
-0.006525,28,408.060069
-0.006291,26,408.08551
-0.002006,6,408.091523
-0.006143,26,408.116424
-0.006377,26,408.141822
-0.00605,26,408.167962
-0.00201,6,408.174994
-0.007101,29,408.203689
-0.006314,26,408.229831
-0.00201,6,408.237357
-0.006096,26,408.26279
-0.002039,6,408.268329
-0.002104,6,408.274339
-0.002265,8,408.282631
-0.006161,26,408.311984
-0.00622,26,408.336924
-0.006531,26,408.363874
-0.006226,26,408.388355
-0.002071,6,408.393171
-0.006231,26,408.420634
-0.006437,26,408.450979
-0.001912,6,408.456725
-0.00629,26,408.48278
-0.006223,26,408.510185
-0.006354,26,408.538104
-0.006384,28,408.566311
-0.006256,26,408.594305
-0.001946,6,408.59931
-0.006087,26,408.626511
-0.002006,6,408.632081
-0.006235,26,408.65675
-0.002322,8,408.664757
-0.006657,28,408.691666
-0.006177,26,408.721663
-0.006244,26,408.750986
-0.006128,26,408.777363
-0.006087,26,408.805854
-0.006184,26,408.836848
-0.006182,26,408.865211
-0.006017,26,408.892287
-0.006166,26,408.919942
-0.002522,8,412.028139
-0.00624,26,412.063099
-0.002508,8,412.073625
-0.006121,26,412.105682
-0.00632,26,412.135362
-0.002509,8,412.144577
-0.006123,26,412.176086
-0.006161,26,412.211837
-0.00201,6,412.220752
-0.00614,26,412.256567
-0.00634,26,412.29842
-0.006361,26,412.341592
-0.006216,26,412.377374
-0.006382,26,412.411273
-0.002039,6,412.416258
-0.006373,26,412.445761
-0.006253,26,412.475753
-0.006212,26,412.508294
-0.006206,26,412.537576
-0.006207,26,412.566075
-0.006255,26,412.598247
-0.006199,26,412.628642
-0.002369,11,412.639239
-0.006105,26,412.668
-0.002342,8,412.676273
-0.006174,26,412.707128
-0.006709,26,412.741622
-0.006285,26,412.77217
-0.006105,26,412.800741
-0.001946,6,412.806307
-0.006208,26,412.837864
-0.003268,8,412.847226
-0.04126,105,412.959186
-0.002104,6,412.965185
-0.006202,26,413.006721
-0.006368,26,413.063536
-0.002104,6,413.071052
-0.006107,26,413.10304
-0.001946,6,413.113788
-0.006191,26,413.146326
-0.006533,28,413.191734
-0.006108,26,413.218962
-0.002104,6,413.224966
-0.002104,6,413.231618
-0.001912,6,413.236684
-0.006206,26,413.263277
-0.006133,26,413.28859
-0.041571,105,413.405191
-0.002483,8,413.412746
-0.006362,26,413.451361
-0.006273,26,413.480203
-0.002039,6,413.485956
-0.002445,8,413.494773
-0.006503,26,415.273151
-0.006508,26,415.297601
-0.006488,26,415.323208
-0.005988,26,415.35312
-0.006063,26,415.379719
-0.006143,26,415.406397
-0.006507,26,415.435255
-0.006071,26,415.462905
-0.006191,26,415.49
-0.006109,26,415.519099
-0.006367,28,415.548975
-0.006186,26,415.576023
-0.00642,26,415.60294
-0.006059,26,415.63074
-0.006225,26,415.656881
-0.006238,26,415.682469
-0.006142,26,415.722011
-0.002508,8,415.735588
-0.002039,6,415.741684
-0.006276,26,415.769143
-0.006194,26,415.794743
-0.007611,29,415.823504
-0.001912,6,415.829564
-0.00623,26,415.856584
-0.00201,6,415.862615
-0.006186,26,415.889531
-0.001912,6,415.895639
-0.00607,26,415.9228
-0.002039,6,415.928817
-0.006421,26,415.958949
-0.003377,8,415.967016
-0.006287,26,415.993352
-0.006291,26,416.018773
-0.007191,29,416.047613
-0.006346,26,416.072335
-0.002522,8,416.079953
-0.001946,6,416.087011
-0.002309,8,416.094347
-0.006192,26,416.121663
-0.006273,26,416.149945
-0.006396,26,416.175697
-0.041473,105,416.295039
-0.006125,26,416.321368
-0.006019,26,416.348446
-0.006366,26,416.377885
-0.006057,26,416.405661
-0.006193,26,416.432224
-0.042461,105,416.545764
-0.00632,26,416.572366
-0.006187,26,416.599998
-0.04269,105,416.721513
-0.006142,26,416.755331
-0.002284,8,416.763896
-0.006179,26,416.79197
-0.040464,105,416.89836
-0.00201,6,416.90431
-0.002104,6,416.911824
-0.001912,6,416.917683
-0.00642,26,416.944871
-0.003065,8,416.95291
-0.006237,26,416.979555
-0.006383,26,417.007481
-0.006301,26,417.034785
-0.006316,26,417.061387
-0.006279,26,417.088476
-0.006173,26,417.114679
-0.002441,8,417.123177
-0.006381,26,417.14947
-0.006241,26,417.175254
-0.006335,26,417.202918
-0.006036,26,417.233856
-0.006239,26,417.264182
-0.006325,26,417.291586
-0.006306,26,417.320408
-0.006401,26,417.349657
-0.001977,6,417.356805
-0.006288,26,417.40297
-0.006135,26,417.460509
-0.002342,8,417.483073
