#{"t_start": 1733273477.165031, "env_id": "None"}
r,l,t
-0.00228,8,15.437594
-0.003234,8,15.446268
-0.002342,8,15.45548
-0.006642,26,15.481134
-0.006721,26,15.508204
-0.00658,26,15.535689
-0.037193,105,15.647056
-0.037363,105,15.755522
-0.006508,26,15.782886
-0.003766,22,15.806313
-0.00246,8,15.813398
-0.002261,8,15.823933
-0.007991,29,15.858717
-0.002006,6,15.864733
-0.002523,8,15.87478
-0.002329,8,15.883315
-0.006916,26,15.909566
-0.001912,6,15.915607
-0.036059,105,16.020468
-0.002397,8,16.034108
-0.006607,26,16.093362
-0.002324,8,16.116195
-0.006442,26,16.162317
-0.002323,8,16.169669
-0.006599,28,16.196637
-0.006537,26,16.223262
-0.001912,6,16.228338
-0.006308,26,16.25491
-0.002397,8,16.262484
-0.037065,105,16.377699
-0.00676,26,16.403023
-0.002261,8,16.410658
-0.006582,26,16.435491
-0.0067,26,16.461685
-0.0064,26,16.48722
-0.002006,6,16.492609
-0.002386,8,16.499869
-0.003502,18,16.516188
-0.038385,105,16.615978
-0.002071,9,16.624861
-0.006246,26,16.655405
-0.039019,105,16.765653
-0.006712,26,16.791096
-0.00656,26,18.481908
-0.002347,8,18.489471
-0.006804,26,18.513979
-0.036684,105,18.618981
-0.003229,8,18.626915
-0.037091,105,18.743381
-0.00228,8,18.750592
-0.039463,105,18.860665
-0.002006,6,18.866179
-0.037755,105,18.974036
-0.006392,26,19.002644
-0.006418,26,19.032144
-0.006584,26,19.059624
-0.002323,8,19.070978
-0.006529,26,19.097014
-0.038387,105,19.197566
-0.002372,8,19.206246
-0.00201,6,19.213254
-0.002361,8,19.221493
-0.00228,8,19.230169
-0.037107,105,19.33972
-0.002329,8,19.347317
-0.006401,26,19.374988
-0.002479,8,19.384219
-0.006411,26,19.409795
-0.006431,26,19.438002
-0.001912,6,19.443029
-0.002402,8,19.452708
-0.006378,26,19.480374
-0.00646,26,19.50726
-0.003517,22,19.529804
-0.002265,8,19.541867
-0.001977,6,19.549106
-0.007577,29,19.579318
-0.006401,26,19.605675
-0.006624,26,19.632319
-0.006444,26,19.659138
-0.002071,6,19.666762
-0.001946,6,19.672779
-0.048703,112,19.786928
-0.006326,26,19.813349
-0.006414,26,19.83933
-0.006882,28,19.866141
-0.006548,26,19.891436
-0.002039,6,19.898182
-0.006578,26,19.923664
-0.006354,26,19.949751
-0.002329,8,19.958534
-0.003343,8,19.966539
-0.006396,26,19.994644
-0.002479,8,20.002778
-0.035251,105,20.116235
-0.002071,6,20.122783
-0.006953,26,20.148296
-0.03654,105,20.251756
-0.00201,6,20.258769
-0.002416,8,20.266783
-0.006649,26,20.293194
-0.037048,105,318.043205
-0.007231,28,318.07516
-0.006817,26,318.106695
-0.006497,26,318.138588
-0.002006,6,318.146603
-0.002006,6,318.154632
-0.037617,105,320.072517
-0.006891,26,320.09766
-0.002527,8,320.105196
-0.007878,29,320.137736
-0.007755,29,320.166964
-0.006413,26,320.194015
-0.036902,105,320.301646
-0.00635,26,320.327429
-0.001977,6,320.33469
-0.00246,8,320.343258
-0.00721,28,320.372162
-0.00339,8,320.379724
-0.006517,26,320.405272
-0.006435,26,320.437397
-0.006405,26,320.467035
-0.001977,6,320.472404
-0.002347,8,320.480425
-0.00339,8,320.489484
-0.006673,26,320.514641
-0.00242,8,320.52354
-0.002372,8,320.549099
-0.003234,8,320.565379
-0.00339,8,320.573895
-0.006446,26,320.609397
-0.006596,26,320.643108
-0.006664,26,320.670811
-0.006185,26,320.697926
-0.006473,26,320.725111
-0.002071,6,320.731707
-0.006718,26,320.758494
-0.006464,26,320.784688
-0.002353,8,320.792277
-0.00629,26,320.817944
-0.006454,26,320.84311
-0.002039,6,320.849726
-0.036862,105,320.959939
-0.00246,8,320.968449
-0.002465,8,320.976961
-0.006662,26,321.002621
-0.001912,6,321.008789
-0.035775,105,321.11424
-0.006486,26,321.141292
-0.003499,22,321.164644
-0.006609,26,321.192205
-0.006497,26,321.222796
-0.00307,8,321.231319
-0.006556,26,321.257752
-0.006365,26,321.284439
-0.0067,26,321.310724
-0.002006,6,321.316242
-0.006546,26,321.343297
-0.002329,8,321.352079
-0.00694,28,321.382365
-0.001946,6,321.388889
-0.006427,26,321.416763
-0.006693,26,321.443272
-0.038897,105,321.548539
-0.006477,26,321.57731
-0.002479,8,321.586475
-0.0067,26,321.613248
-0.006787,26,321.6389
-0.00653,26,321.665686
-0.001991,9,321.673774
-0.002284,8,321.683463
-0.002322,8,321.692296
-0.037387,105,321.812359
-0.006523,26,321.836269
-0.001946,6,321.841366
-0.006598,28,321.870013
-0.007006,26,321.896552
-0.006738,26,321.927072
-0.006609,26,321.954077
-0.001912,6,321.959586
-0.003369,22,321.981373
-0.002006,6,321.98792
-0.03754,105,322.094864
-0.038296,105,322.202701
-0.003109,8,322.212354
-0.002341,8,322.222847
-0.002308,8,323.897765
-0.001977,6,323.903834
-0.002386,8,323.911374
-0.006946,26,323.93641
-0.006464,26,323.960323
-0.006476,26,323.985006
-0.00677,26,324.009662
-0.040152,105,324.122305
-0.006248,26,324.148768
-0.006366,26,324.175047
-0.006469,26,324.200848
-0.006564,28,324.226999
-0.039016,105,324.339927
-0.002464,8,324.348809
-0.00228,8,324.356351
-0.006671,28,324.385392
-0.001946,6,324.390932
-0.00246,8,324.399884
-0.00684,28,324.431318
-0.006549,28,324.460615
-0.006439,26,324.487163
-0.006525,26,324.513771
-0.006609,26,324.54666
-0.001977,6,324.554837
-0.03885,105,324.732619
-0.040185,105,324.834777
-0.006393,26,324.860339
-0.006362,26,324.889988
-0.002479,8,324.897303
-0.006361,26,324.922335
-0.002006,6,324.928772
-0.006456,26,324.95264
-0.003772,22,324.973176
-0.006334,26,325.001111
-0.002372,8,325.009068
-0.040245,105,325.118908
-0.001912,6,325.125452
-0.006929,28,325.151
-0.006124,26,325.176647
-0.00228,8,325.185755
-0.00639,26,325.213631
-0.040329,105,325.314553
-0.002039,6,325.320718
-0.001912,6,325.326255
-0.006506,26,325.350199
-0.006316,28,325.377392
-0.002383,8,325.38627
-0.006618,26,325.41316
-0.006542,26,325.439495
-0.006462,26,325.468345
-0.002385,8,325.476888
-0.006143,26,325.502856
-0.006431,26,325.535384
-0.002416,8,325.543144
-0.001977,6,325.549258
-0.038976,105,325.666521
-0.001912,6,325.672032
-0.006684,26,325.701273
-0.002386,8,325.710179
-0.006346,26,325.736942
-0.007272,29,325.766893
-0.006306,26,325.79322
-0.006465,26,325.820492
-0.006501,28,325.849073
-0.006418,26,325.876294
-0.00639,26,325.9031
-0.006414,26,325.928695
-0.006328,26,325.955713
-0.002361,8,325.963796
-0.006744,26,325.991392
-0.002322,8,325.999548
-0.002479,8,326.008428
-0.002353,8,326.01643
-0.002372,8,326.02876
-0.002071,6,326.035364
-0.006723,26,326.064762
-0.006354,26,327.700423
-0.006683,26,327.735259
-0.006328,26,327.762618
-0.006861,26,327.786787
-0.037838,105,327.894797
-0.006532,26,327.921667
-0.006591,26,327.947772
-0.006409,26,327.973504
-0.006454,26,328.001114
-0.002071,6,328.007246
-0.037152,105,328.116287
-0.003338,8,328.124987
-0.001946,6,328.130505
-0.006606,26,328.157966
-0.006461,26,328.182424
-0.007074,29,328.21293
-0.006561,26,328.240573
-0.006713,26,328.267799
-0.006412,26,328.297714
-0.002039,6,328.304964
-0.002483,8,328.313239
-0.003273,8,328.323429
-0.003273,8,328.334073
-0.006662,26,328.362407
-0.003234,8,328.369575
-0.006396,26,328.396736
-0.006445,26,328.42227
-0.002446,8,328.429906
-0.002304,8,328.438168
-0.037241,105,328.547455
-0.001912,6,328.553093
-0.006609,26,328.58071
-0.001946,6,328.58649
-0.002343,8,328.594851
-0.037376,105,328.707643
-0.006367,26,328.735917
-0.006951,28,328.763836
-0.006617,26,328.791983
-0.002261,8,328.801133
-0.038525,105,328.918025
-0.006695,26,328.943161
-0.006741,26,328.968964
-0.002266,8,328.976988
-0.006626,26,329.003375
-0.002323,8,329.010741
-0.002483,8,329.019766
-0.002367,8,329.0273
-0.006504,26,329.055153
-0.006526,26,329.083055
-0.006243,26,329.109558
-0.006541,26,329.138439
-0.006532,26,329.165449
-0.006339,26,329.191753
-0.006727,26,329.21907
-0.006245,26,329.246786
-0.00307,8,329.254896
-0.006422,26,329.281684
-0.002298,8,329.289258
-0.002329,8,329.297775
-0.002071,6,329.303698
-0.006513,26,329.337035
-0.006245,26,329.367748
-0.002006,6,329.373797
-0.001977,6,329.379861
-0.039152,105,329.484234
-0.006315,26,329.510688
-0.006721,26,329.537005
-0.039526,105,329.671392
-0.002523,8,329.683954
-0.006481,26,329.731553
-0.002309,8,329.74459
-0.003179,8,329.756675
-0.00228,8,329.765229
-0.00708,26,329.793014
-0.003104,8,329.801075
-0.001912,6,329.807281
-0.006272,26,329.838454
-0.039591,105,331.648175
-0.00628,26,331.675154
-0.006616,26,331.706383
-0.037668,105,331.813123
-0.002247,8,331.820671
-0.006345,26,331.84706
-0.002304,8,331.855135
-0.002284,8,331.864277
-0.006446,26,331.891604
-0.006282,26,331.918916
-0.007204,29,331.948274
-0.006436,26,331.976871
-0.006347,26,332.005655
-0.039562,105,332.115181
-0.002071,6,332.123693
-0.006471,26,332.152595
-0.001946,6,332.157639
-0.038446,105,332.267912
-0.006346,26,332.294434
-0.002343,8,332.302691
-0.038187,105,332.41222
-0.006309,26,332.44307
-0.003343,8,332.451253
-0.006685,26,332.477288
-0.002309,8,332.486431
-0.006293,26,332.514966
-0.006587,28,332.542933
-0.041168,105,332.657428
-0.006493,26,332.685655
-0.00651,26,332.721737
-0.006799,26,332.74736
-0.006249,26,332.77194
-0.006393,26,332.797553
-0.002415,8,332.805155
-0.037558,105,332.914648
-0.006269,26,332.94141
-0.006408,26,332.968304
-0.00228,8,332.975827
-0.002039,6,332.982412
-0.006411,26,333.007836
-0.006132,26,333.034795
-0.006374,26,333.065297
-0.006621,26,333.097886
-0.038574,105,333.236902
-0.001946,6,333.241902
-0.006447,26,333.271621
-0.006229,26,333.298438
-0.006338,26,333.324945
-0.006326,26,333.348884
-0.006716,28,333.378762
-0.006737,28,333.405828
-0.00249,8,333.414934
-0.006113,26,333.441265
-0.006428,28,333.468263
-0.002265,8,333.476532
-0.00657,26,333.501149
-0.002347,8,333.508294
-0.006461,26,333.533995
-0.003179,8,333.541564
-0.002322,8,333.54831
-0.00228,8,333.556479
-0.006653,26,333.586819
-0.006463,26,333.614258
-0.006536,26,333.642984
-0.006538,26,333.671082
-0.006471,26,333.698187
-0.00228,8,333.708405
-0.006515,26,333.735998
-0.002483,8,333.743072
-0.001946,6,333.749861
-0.006213,26,333.775017
-0.001912,6,333.780099
-0.001946,6,335.480655
-0.006656,26,335.504566
-0.001946,6,335.510709
-0.006648,26,335.534312
-0.00228,8,335.541417
-0.001946,6,335.547548
-0.006787,26,335.573088
-0.002006,6,335.578506
-0.003229,8,335.585927
-0.002322,8,335.593015
-0.00624,26,335.61876
-0.003179,8,335.627308
-0.001912,6,335.632455
-0.002404,8,335.641659
-0.006787,26,335.666434
-0.002104,6,335.673021
-0.001912,6,335.679643
-0.006243,26,335.718116
-0.00201,6,335.726154
-0.00249,8,335.737724
-0.00339,8,335.745785
-0.002261,8,335.752809
-0.002464,8,335.760529
-0.00645,26,335.786553
-0.006518,26,335.81173
-0.002404,8,335.819771
-0.00625,26,335.844544
-0.002247,8,335.854663
-0.002416,8,335.861135
-0.002309,8,335.869686
-0.006367,26,335.896245
-0.00656,28,335.924137
-0.002265,8,335.933434
-0.038478,105,336.040323
-0.002404,8,336.04991
-0.002523,8,336.057773
-0.002006,6,336.063773
-0.002522,8,336.072815
-0.006576,26,336.097918
-0.002304,8,336.106334
-0.006529,26,336.132288
-0.006919,26,336.159801
-0.039831,105,336.271889
-0.00242,8,336.28058
-0.00662,26,336.308618
-0.006564,26,336.334674
-0.006523,26,336.360617
-0.00228,8,336.368811
-0.006251,26,336.39458
-0.002329,8,336.403212
-0.006702,26,336.430106
-0.003574,22,336.451205
-0.03739,105,336.564316
-0.002039,6,336.570832
-0.002324,8,336.578894
-0.002397,8,336.587309
-0.002071,6,336.592898
-0.006371,26,336.619391
-0.039688,105,336.738526
-0.037871,105,336.869004
-0.006398,26,336.896509
-0.006317,26,336.922871
-0.006427,26,336.947691
-0.002298,8,336.95536
-0.006371,26,336.979585
-0.00228,8,336.9867
-0.002383,8,336.995357
-0.001977,6,337.001913
-0.002367,8,337.010017
-0.006343,26,337.037768
-0.007389,29,337.066952
-0.002342,8,337.075505
-0.006589,26,337.10109
-0.002397,8,337.109386
-0.006587,26,344.260156
-0.003341,22,344.285928
-0.006267,26,344.316199
-0.001946,6,344.323714
-0.038899,105,344.462786
-0.00668,26,344.491441
-0.002342,8,344.499534
-0.006961,26,344.525413
-0.006683,26,344.553119
-0.006478,26,344.581722
-0.002397,8,344.590872
-0.002304,8,344.601096
-0.006427,26,344.629692
-0.006174,26,344.65669
-0.03941,105,344.803695
-0.006493,26,346.568007
-0.006481,26,346.59675
-0.003437,8,346.603954
-0.001946,6,346.609529
-0.006647,26,346.634975
-0.006383,26,346.661252
-0.006506,26,346.68621
-0.001946,6,346.694839
-0.002323,8,346.703987
-0.006573,26,346.735243
-0.001912,6,346.741917
-0.002039,6,346.748599
-0.002404,8,346.758284
-0.002369,11,346.7689
-0.006544,26,346.793192
-0.006403,26,346.820786
-0.002386,8,346.829954
-0.002261,8,346.839553
-0.006643,26,346.867745
-0.001977,6,346.87376
-0.00632,26,346.899195
-0.00644,28,346.926421
-0.006425,26,346.950648
-0.006403,26,346.977273
-0.001946,6,346.984324
-0.006132,26,347.010252
-0.006399,26,347.037416
-0.006383,26,347.064038
-0.006957,28,347.093256
-0.002478,8,347.101806
-0.001977,6,347.107452
-0.002006,6,347.114023
-0.006795,26,347.140479
-0.039427,105,347.246707
-0.006457,26,347.276498
-0.001977,6,347.282526
-0.001912,6,347.28958
-0.006306,26,347.323444
-0.00239,8,347.334596
-0.002261,8,347.344391
-0.00242,8,347.362708
-0.001946,6,347.37963
-0.002523,8,347.395387
-0.002265,8,347.409513
-0.002104,6,347.419703
-0.006615,26,347.448547
-0.002279,8,347.457118
-0.002329,8,347.464656
-0.00661,26,347.490716
-0.006945,26,347.516247
-0.006363,26,347.544382
-0.002353,8,347.55253
-0.006307,26,347.578742
-0.006431,26,347.604372
-0.006314,26,347.631738
-0.002465,8,347.640292
-0.040165,105,347.749152
-0.006391,26,347.776313
-0.006371,26,347.803787
-0.006616,26,347.836953
-0.006625,28,347.868114
-0.002328,8,347.877637
-0.006388,26,347.905692
-0.002427,8,347.914629
-0.006399,26,347.939377
-0.006601,26,347.964664
-0.002071,6,347.971185
-0.037145,105,348.085136
-0.006354,26,348.111952
-0.002265,8,348.120837
-0.006691,26,348.148209
-0.040346,105,348.25866
-0.002434,8,348.267674
-0.006502,28,348.298029
